
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
7.83558798e+00, 1.27840912e+00, 1.24020576e-02, 2.31027527e+02, 7.28527908e+01, 9.51185703e+00, 0.00000000e+00
8.04178524e+00, 1.14146459e+00, 1.24020576e-02, 1.78311661e+02, 6.84766617e+01, 1.10821657e+01, 0.00000000e+00
-1.31527929e+01, -5.59815073e+00, 1.24020576e-02, 1.14606616e+03, 8.34629364e+01, 3.47490096e+00, 0.00000000e+00
-1.35181160e+01, -5.66617680e+00, 1.24020576e-02, 1.19171729e+03, 8.30500488e+01, 3.49169970e+00, 0.00000000e+00
-1.32703705e+01, -5.93432093e+00, 1.24020576e-02, 1.16239441e+03, 8.41257324e+01, 3.96720672e+00, 0.00000000e+00
-1.16946831e+01, 4.19541597e+00, 1.24020576e-02, 1.02587878e+03, 8.27866669e+01, -2.10552907e+00, 0.00000000e+00
-1.19644899e+01, 3.93980074e+00, 1.24020576e-02, 1.04560815e+03, 8.23173065e+01, -1.93241060e+00, 0.00000000e+00
-1.15778065e+01, 3.83038116e+00, 1.24020576e-02, 1.02085211e+03, 8.24914169e+01, -1.84885418e+00, 0.00000000e+00
-1.20851851e+01, -6.96716022e+00, 1.24020576e-02, 9.73970947e+02, 7.38401642e+01, 3.36715913e+00, 0.00000000e+00
-1.23395205e+01, -6.95771599e+00, 1.24020576e-02, 9.94338501e+02, 7.65271454e+01, 3.73073840e+00, 0.00000000e+00
-1.22758970e+01, -7.21802235e+00, 1.24020576e-02, 9.73379639e+02, 4.82762985e+01, 2.02350140e+00, 0.00000000e+00
9.15340126e-01, -5.21056843e+00, 1.24020576e-02, 1.94320511e+02, 9.40317993e+01, -4.35130633e-02, 0.00000000e+00
9.12248194e-01, -5.45125389e+00, 1.24020576e-02, 2.10461151e+02, 9.41761017e+01, 1.48216397e-01, 0.00000000e+00
1.12736034e+00, -5.32965803e+00, 1.24020576e-02, 1.87141739e+02, 9.42850342e+01, 2.27582574e-01, 0.00000000e+00
-4.87015057e+00, 2.05804062e+00, 1.24020576e-02, 8.80573608e+02, 8.31658936e+01, 7.42806852e-01, 0.00000000e+00
-4.69910479e+00, 1.81921649e+00, 1.24020576e-02, 8.96120911e+02, 8.29131622e+01, 8.46544266e-01, 0.00000000e+00
-4.48938274e+00, 2.09392667e+00, 1.24020576e-02, 8.78217712e+02, 8.31985397e+01, 1.04925859e+00, 0.00000000e+00
5.44250631e+00, 7.27574015e+00, 1.24020576e-02, 5.21564255e+01, 2.08782673e+01, -7.30478764e-02, 0.00000000e+00
5.31118011e+00, 7.03901482e+00, 1.24020576e-02, 5.38772964e+01, 4.00377846e+01, -5.04617691e-01, 0.00000000e+00
5.60167551e+00, 7.00472164e+00, 1.24020576e-02, 5.86710396e+01, 4.22956123e+01, -4.80408043e-01, 0.00000000e+00
8.29226971e+00, 1.65978956e+00, 1.24020576e-02, 1.31197571e+02, 8.92795639e+01, 6.28896713e+00, 0.00000000e+00
8.54767799e+00, 1.52643061e+00, 1.24020576e-02, 6.74742889e+01, 8.76412430e+01, 6.01906157e+00, 0.00000000e+00
8.57028008e+00, 1.89480400e+00, 1.24020576e-02, 8.44233017e+01, 9.44569092e+01, 3.46633697e+00, 0.00000000e+00
-6.63393497e-01, -4.82293844e+00, 1.24020576e-02, 3.53728943e+02, 9.17012863e+01, -1.39913261e+00, 0.00000000e+00
7.29472303e+00, 1.29048491e+00, 1.24020576e-02, 3.49136139e+02, 7.23383026e+01, 5.87021208e+00, 0.00000000e+00
7.22033024e+00, 9.75314736e-01, 1.24020576e-02, 3.27927826e+02, 5.93949089e+01, 3.94500184e+00, 0.00000000e+00
7.55251169e+00, 1.12713361e+00, 1.24020576e-02, 2.90801849e+02, 6.54549789e+01, 8.17601490e+00, 0.00000000e+00
-1.28683109e+01, 5.61779404e+00, 1.24020576e-02, 1.10841870e+03, 8.40698242e+01, -3.66012955e+00, 0.00000000e+00
-1.25008659e+01, 5.55875921e+00, 1.24020576e-02, 1.07024792e+03, 8.43916321e+01, -3.53937411e+00, 0.00000000e+00
-1.26869526e+01, 5.89779234e+00, 1.24020576e-02, 1.08412036e+03, 8.51932983e+01, -4.05859518e+00, 0.00000000e+00
-1.57335596e+01, -1.67907894e+00, 1.24020576e-02, 1.13280078e+03, 8.00081482e+01, 6.92872480e-02, 0.00000000e+00
-1.55317459e+01, -1.83699894e+00, 1.24020576e-02, 1.13508643e+03, 8.00210342e+01, 1.30363569e-01, 0.00000000e+00
-1.54472160e+01, -1.56890619e+00, 1.24020576e-02, 1.12984949e+03, 8.00283813e+01, 1.33013010e-01, 0.00000000e+00
1.26167459e+01, 4.77559519e+00, 1.24020576e-02, 3.63264236e+01, 9.45171967e+01, -1.43237853e+00, 0.00000000e+00
1.23741493e+01, 4.89995623e+00, 1.24020576e-02, 3.94533005e+01, 9.44538574e+01, -1.54686415e+00, 0.00000000e+00
1.24424906e+01, 4.60956097e+00, 1.24020576e-02, 4.08367805e+01, 9.43807755e+01, -1.48230040e+00, 0.00000000e+00
-2.44282651e+00, 3.84338856e+00, 1.24020576e-02, 6.00371643e+02, 8.73225708e+01, 2.29828382e+00, 0.00000000e+00
-2.51117325e+00, 3.54087520e+00, 1.24020576e-02, 6.34315552e+02, 8.66864243e+01, 2.61250949e+00, 0.00000000e+00
-2.20880032e+00, 3.63592100e+00, 1.24020576e-02, 5.85158569e+02, 8.72900772e+01, 2.79223180e+00, 0.00000000e+00
6.47189951e+00, -2.01915431e+00, 1.24020576e-02, 1.98183308e+01, 9.76936722e+01, 3.53576779e+00, 0.00000000e+00
6.75617170e+00, -1.84919214e+00, 1.24020576e-02, -1.14468870e+01, 9.79100952e+01, 5.70894861e+00, 0.00000000e+00
6.45272541e+00, -1.74238825e+00, 1.24020576e-02, -2.22345715e+01, 9.88484573e+01, 3.55327773e+00, 0.00000000e+00
1.17038584e+01, 2.02191305e+00, 1.24020576e-02, 1.09837509e+02, 8.76792831e+01, -4.92258120e+00, 0.00000000e+00
1.16961689e+01, 1.72107458e+00, 1.24020576e-02, 1.16177467e+02, 8.60577164e+01, -6.31163979e+00, 0.00000000e+00
1.19357910e+01, 1.86879528e+00, 1.24020576e-02, 1.24089996e+02, 8.59717026e+01, -4.27696133e+00, 0.00000000e+00
5.61192846e+00, 2.87223291e+00, 1.24020576e-02, 8.73558426e+01, 9.08866653e+01, -4.79865789e+00, 0.00000000e+00
5.50430584e+00, 2.51072860e+00, 1.24020576e-02, 8.62883072e+01, 9.03125229e+01, -6.09881544e+00, 0.00000000e+00
5.79872417e+00, 2.58408523e+00, 1.24020576e-02, 1.24004219e+02, 8.95136032e+01, -5.09814501e+00, 0.00000000e+00
-1.31919632e+01, -4.17215407e-01, 1.24020576e-02, 1.07672266e+03, 8.05102158e+01, 1.24241769e-01, 0.00000000e+00
-1.30123234e+01, -2.24019840e-01, 1.24020576e-02, 1.07210315e+03, 8.05631638e+01, 6.22467995e-02, 0.00000000e+00
-1.33225946e+01, -1.63642004e-01, 1.24020576e-02, 1.07986682e+03, 8.04615402e+01, 4.04297486e-02, 0.00000000e+00
1.02653246e+01, 2.42141104e+00, 1.24020576e-02, 4.36297455e+01, 9.44040451e+01, -4.94741726e+00, 0.00000000e+00
1.06129293e+01, 2.23969364e+00, 1.24020576e-02, 4.82586594e+01, 9.31452103e+01, -6.19537067e+00, 0.00000000e+00
1.05644760e+01, 2.57377458e+00, 1.24020576e-02, 5.87367439e+01, 9.32181931e+01, -4.78334570e+00, 0.00000000e+00
-5.32753325e+00, 3.51903987e+00, 1.24020576e-02, 8.04506226e+02, 8.48572159e+01, 1.55829385e-01, 0.00000000e+00
